balcony,walls,total_area,district,year,cost,description,lon,lat,type_house,repair
1.0,Панельный,39,Заречный,2001.0,3050000,"1-комнатная квартира спецпроект 2004 года, 39,7/21,4/10,0, теплая и очень светлая. Трехслойные наружные стены – отличная теплоизоляция. Высота потолков – 2,65 м. Южная сторона, вид во двор. Окна – стеклопакет. Квадратные комната и кухня позволяют функционально разместить мебель. Просторная прихожая. Сейф-дверь. Остекленная лоджия. Бонусом остается вся мебель, кухонный гарнитур, электроплита, холодильник, микроволновая печь и стиральная машина. Большой закрываемый тамбур на 3 квартиры. Чистый подъезд и доброжелательные соседи. Во дворе дома оснащенная детская площадка и спортивные корты. Рядом шикарный зеленый сквер для прогулок. Развитая инфраструктура - торговые центры, физкультурно-оздоровительный комплекс, новый бассейн, детская поликлиника и детский бассейн, детские сады и школы, лицей, детская школа искусств, детская технологическая школа, Юридическая академия и Университет Железнодорожного транспорта. В шаговой доступности ТРЦ Карнавал и ОБИ, до набережной городского пруда рукой подать. До парка УрГУПС – 5 минут прогулочного шага. Удобная транспортная развязка в любую точку города.",60.569402,56.85356700000001,Улучшенной,Хорошее
1.0,Монолитный,34,Пионерский,2019.0,3485000,"Последние квартиры в Жилом доме ""Культура""!!!",60.639534,56.856958,,Хорошее
1.0,Панельный,27,ВИЗ,1970.0,2295000,Продается однокомнатная квартира после ремонта.,60.546001,56.827581,,В
1.0,Кирпичный,35,Н.Сортировка,2007.0,2600000,"Квартира в кирпичном доме 2007 года на тихой улочке. Состоит из большой кухни-гостиной и спальни. Южная сторона, пластиковые окна во двор. Отличный просторный вид из окон на городскую панораму. Последний этаж – никто не будет топать над головой. Остекленная лоджия. Сейф-дверь. Консьерж, чистейший подъезд. Бонусом остается кухонный гарнитур с встроенными холодильником и электроплитой, шкаф-купе и стиральная машина. Тихие и доброжелательные соседи. Закрытая территория, система «двор без машин». На территории оснащенная детская площадка и организованная закрытая автостоянка для жильцов дома. Развитая инфраструктура – все рядом: гипермаркеты «Кировский», «Монетка», «Пятерочка», «Дикси», «Яблоко», детская и взрослая поликлиники, престижная школа №148 с углубленным изучением английского языка, № 4 - с математическим уклоном, гимназия №166, пять детских садов. Удобная транспортная развязка в любую точку города.",60.561686,56.862666,,В
1.0,Кирпичный,32,Шарташский р-к,1972.0,2550000,"Однокомнатная квартира в кирпичном доме на среднем высоком этаже.Окна во двор.Балкон застеклен. Ламинат, линолеум.Метал.дверь.Теплая,светлая. Место хорошее.Все рядом.Один собственник. Продажа. Пустая.После ремонта. Быстрый выход на сделку.",60.646352,56.827685,Улучшенной,Хорошее
2.0,Панельный,35,Ю-З,1977.0,2850000,"Квартира очень теплая, имеет дополнительное помещение 18 кв. м.можно использовать как дополнительную комнату или просто лоджию выход с кухни. Дом находится в очень хорошем месте. Рядом весь транспорт, парк, школа, магазины, во дворе Стадион. Окна квартиры во двор",60.572932,56.79892099999999,Улучшенной,Требует
1.0,,42,С.Сортировка,2010.0,2600000,"Продажа 1 комнатной квартиры,ремонт от застройщика.Срочно. Ипотека возможна.Торг реальному покупателю.. Ипотека в подарок.",60.5029,56.884389,,
1.0,Кирпич,42,Уктус,2011.0,3000000,"Продается просторная, светлая 1 комнатная квартира на Уктусе. Квартира хорошей планировки: большая комната, просторная кухня, лоджия застеклена . Подъезд чистый, консьерж на первом этаже, два пассажирских и грузовых лифта, круглосуточное видеонаблюдение. В доме своя газовая котельная, низкие коммунальные платежи! Рядом ТРЦ Глобус, аквапарк, ледовая арена, планета Игрек, школа и детский сад в шаговой доступности, различные спортивные комплексы, лыжная база. Хорошая транспортная развязка, до метро минут 15 пешком.",60.638851,56.78629599999999,Улучшенной,Хорошее
1.0,Монолитный,34,Пионерский,2019.0,3485000,"Последние квартиры в Жилом доме ""Культура""!!!",60.639534,56.856958,,В
1.0,Панельный,32,Компрессорный,1992.0,1860000,"Квартира с удачной планировкой: окна кухни и комнаты выходят на разные стороны - распашонка, также собственники из комнаты сделали кухню-гостиную, а из кухни получилась маленькая спальная комната. Получилась очень необычная, комфортная квартира. Приходите на просмотр, вам понравится!",60.77606899999999,56.793908,Улучшенной,Хорошее
