balcony,walls,total_area,district,year,cost,description,lon,lat,type_house,repair
1.0,Кирпичный,31,Центр,1965.0,2550000,"Квартира на среднем этаже – это самый комфортный вариант, лишенный недостатков крайних этажей, таких как шум от хлопающей двери в подъезде, звука автомобильных моторов и сигнализаций, протекание крыши и прочих. родаётся 1-я квартира с балконом на 4 этаже в 9-и этажном доме. Квартира продается с мебелью.",60.632949,56.836938,,
1.0,Кирпичный,31,Центр,1970.0,2700000,Отличная тёплая квартира в тихом центре. Деревянные стеклопакеты. На полу паркет. Чистая продажа. Просмотры с 14 июля,60.623939,56.845012,,
1.0,Монолитный,37,Академический,2018.0,2520000,"Продается квартира в сданном доме, расположенном в ЖК комфорт класса ""Рябиновый квартал"".Квартира с отделкой под чистовую. Стены выровнены и подготовлены для оклейки обоев, пол выровнен, качественная входная сейф-дверь, установлены тепловые датчики на батареях, что позволяет вести учет тепла потраченного вами.Большой закрытый двор. Во дворе комплекса - муниципальный детский сад. Двор благоустроен, с детскими и спортивными площадками, местами для прогулок и отдыха. Рядом школы, садики. Рядом остановки общественного транспорта. В шаговой доступности гипермаркет Лента, Мегамарт, Перекресток, кинотеатр. В целях обеспечения безопасности жителей района создана специальное предприятие - ЗАО ГАРАНТ.Жилые дома в р-оне Академический оборудованы видеокамерами.Покупка возможна с использованием материнского капитала и ипотеки. Ключи отдаем в день сделки.",60.512647,56.797201,,Требует
1.0,Панельный,34,Уралмаш,1984.0,2560000,"Хорошая квартира с большой 6-метровой лоджией на два окна. Новый лифт. Отремонтированный подъезд. В подъезде на площадке, где расположен неработающий мусоропровод, можно отгородить зону под колясочную или хоз.помещение. Удачное расположение дома: в минуте ходьбы до общественного транспорта, 10 минут до метро, рядом супермаркеты, школы, детские сады.",60.596971,56.904718,Улучшенной,Хорошее
1.0,Кирпичный,38,С.Сортировка,2008.0,2450000,"Вы искали ""свою"" квартиру? Квартиру, которая принесет вам настоящий домашний уют, теплоту и надежность? Вы её нашли!",60.509035,56.881374,,Хорошее
,Панельный,30,Втузгородок,1958.0,2650000,"Предлагаем к продаже однокомнатную квартиру в центре города,дом расположен очень удачно как к транспортной доступности так и парковой зоне так и к ТРЦ,фитнес центры,магазинам,школам,детским садам и всем необходимым сферам обслуживания. В пяти минутах пешеходной доступности Уральский Политехнический Институт,строительный колледж. Квартира очень светлая на три окна,теплая,высокие потолки,просторная ванная,сделан качественный ремонт,в квартире остается кухонный гарнитур,кровать. Просмотр возможен в любое удобное для вас время. Звоните!",60.639812,56.840183,,В
1.0,Кирпичный,36,Автовокзал,2012.0,3700000,"Квартира в кирпичном доме,до метро 5 мин.рядом школы,дет.сады.Была небольшая перепланировка(увиличили площадь кухни)узаконена.В помощи агенств и риелторов не нуждаюсь!",60.603655,56.806378,Улучшенной,Хорошее
1.0,Панельный,29,Автовокзал,1978.0,2480000,"Предлагаем вашему вниманию 1-комнатную квартиру в центре города. Квартира тёплая, светлая, средний этаж.Один собственник. Быстрый выход на сделку. Рядом находятся детский сад, школа, остановка транспорта.",60.593127,56.810926,,Хорошее
1.0,Монолитный,34,ЖБИ,2017.0,2070000,"Продается квартира с мебелью в новом Жилом Комплексе Олимп. Современный жилой комплекс оборудован системой охраны, счетчиками на воду, электричество, отопление, имеет подземный паркинг. Рядом располагается остановка общественного транспорта, гипермаркеты продуктовый и мебельный, удобная развязка. Окна квартиры выходят на ого-восточную сторону, этаж высокий. При продаже в квартире останется мебель. Квартира без обременений, два взрослых собственника. Ждем на просмотр.",60.694609,56.826262,Индивидуальная,
1.0,Кирпичный,32,Втузгородок,1963.0,2400000,"1-к квартира на Пионерском. Квартира после косметического ремонта. Окна на южную сторону в тихий, зелёный переулок.",60.65944,56.84584399999999,,Требует
1.0,Бетонные,44,Чермет,,3149000,"Просторная уютная квартира в новом доме в самом центре Вторчермета с нетерпением ждет новых хозяев! Качественный ремонт от застройщика: ламинат, обои под покраску, сейф-дверь и конечно вместительная лоджия. А какой прекрасный, уютный двор! Можно спокойно отпускать детей на детскую площадку и не переживать, двор огорожен. Близость всей инфраструктуры, а также лесопарковой зоны, где можно прекрасно проводить время всей семьей. Чистая продажа, без обременений, один взрослый собственник. С нетерпением ждем Вас на просмотр! Приходите!",60.607149,56.77101800000001,,
1.0,Кирпичный,32,Центр,1969.0,2590000,Продаётся отличная квартира в центре Екатеринбурга.,60.59884,56.853966,Улучшенной,Хорошее
1.0,Бетонные,34,Завокзальный,2014.0,1950000,"Срочно продается 1-к квартира в доме 2014 года!!! Хорошее состояние квартиры! Документы на руках, быстрая сделка! Обременений тоже никаких нет.",60.576714,56.86178100000001,,
,Панельный,29,С.Сортировка,1975.0,1750000,"Продается просторная, светлая 1-комнатная квартира. Чем мы выгоднее от других предложений на рынке: - Хорошая площадь квартиры и отличная планировка, Ваша фантазия и возможность различных вариантов зонирования, позволит комфортно организовать пространство.",60.51380500000001,56.883617,,Требует
1.0,Панельный,28,Заречный,1985.0,2650000,Продам однокомнатную светлую квартиру с хорошим месторасположением.,60.56610500000001,56.853912,Улучшенной,Хорошее
1.0,Монолитный,28,Центр,2017.0,1200000,Студия,60.606287,56.83769100000001,Студия,В
1.0,Бетонные,40,Академический,2013.0,2790000,"ПРОДАЕТСЯ: отличная 1к квартира площадью 39,9 м2, 3 м2 лоджия",60.507823,56.794519,,
1.0,Кирпичный,54,Пионерский,2004.0,4300000,"Просторная квартира в кирпичном доме с обустроенной, закрытой территорией внутреннего двора. Есть подземный паркинг и парковка рядом с домом. Окна и лоджия выходят во двор. Состояние хорошее, хотя косметический ремонт не помешает. Фото будут чуть позже. В квартире никто не проживает, она освобождена для новых владельцев. К посредникам относимся положительно. Подробности по телефону, звоните.",60.64407900000001,56.853828,,Требует
1.0,Кирпичный,35,Чермет,2004.0,2600000,"Кирпич,в доме своя котельная, дом во дворе, закрытый двор, охрана, детская площадка, парковка. Чистая продажа продажа, быстрый выход на сделку. Возможна ипотека.",60.608883,56.773869,,Хорошее
1.0,Монолитный,45,Автовокзал,2016.0,4200000,"Квартира с комфортабельной планировкой, просторной комнатой 19кв.м., потолки 2,7 м. высотой. Изумительный вид с лоджии, где есть пространство для чайного столика. Кухня удобной квадратной формы. Качественный, функциональный кухонный гарнитур со встроенной техникой (посудомойка, духовой шкаф, вытяжка, вар. поверхность, «доводчики»), пространство кухни обыграно матовой ударопрочной дверью и выходом на лоджию, что удобно, красиво. В коридоре 9,7 кв.м. встроенный вместительный шкаф-купе. Места общего пользования дома в прекрасном состоянии, 4 бесшумных лифта Ecomaks, грузовой и пассажирские, видеонаблюдение, закрытая территория двора с богатыми детскими площадками, рядом имеется паркинг. С соседями очень повезло, создано свое ТСЖ, коммунальные услуги на сегодняшний день – 2600руб. в мес., счетчики на тепло, воду, электричество для экономии. Очень тихий спокойный дом, вся инфраструктура в шаговой доступности, дет. сады, школы, 19 транспортных маршрутов в любую точку города+метро, большой и современный парк отдыха, обустраивается набережная, широкий выбор магазинов и ТЦ. Качественная, комфортная жизнь с экономными коммунальными услугами. Квартиру можно приобрести в ипотеку по сниженной процентной ставке (!), принимается материнский капитал. Покупателю согласуем лучшие условия в банках! Приобретайте и наслаждайтесь, это верный выбор! Кроме этого, кратчайшая и чистейшая юридическая история, один взрослый собственник, все документы готовы! Звоните, приходите на просмотр!!",60.630577,56.804017,,В
,Кирпичный,29,Парковый,1964.0,2340000,"Продам однокомнатную квартиру. Дом кирпичный, брежневка, первый этаж, 5-этажный дом. Площадь квартиры: общая – 29 кв.м, жилая – 17,1 кв.м, кухня – 5,6 кв.м. Квартира светлая, теплая. Санузел совмещенный. Состояние квартиры отличное. Окна во двор, на юг. Чистый, ухоженный подъезд. Чистая продажа. Ипотека возможна.",60.637674,56.820779,,В
1.0,Кирпичный,42,Уктус,1998.0,3100000,Продается солнечная просторная однокомнатная квартира общей площадью 42 м2 в сданном доме!,60.648319,56.784028,,
1.0,Кирпичный,29,Эльмаш,1964.0,2300000,"В связи с переездом продается светлая, уютная, теплая квартира с капитальным ремонтом. Санузел совмещен, все коммуникации, система водоснабжения и отопления заменены, уставлена сейф дверь, балкон обшит и установлены стеклопакеты!!! Звоните и мы с удовольствием покажем Вам эту замечательную квартиру!",60.635051,56.889051,,В
1.0,Монолитный,39,ЖБИ,2016.0,2890000,"Продается уютная 1-комнатная квартира в спецпроекте. Квартира отличная, светлая, лоджия застеклена. Квартира с положительной энергетикой, уютная и очень теплая. Окна все выходят во двор, не на проезжую часть. Во всей квартире хорошее состояние, дому 2 года. Необычная планировка - комната огромная 19 кв.м., с 2-мя окнами, кухня 12 кв.м. В санузле сантехника в отличном состоянии, установлена душевая кабина, водонагреватель, счетчики воды – большая выгода (!) а также 2-х тарифный эл. счетчик. В квартире проведен интернет, кабельное телевидение. Идеальнейшая чистота в подъезде, скоростные лифты, домофон. Для жизни есть все – заезжай и живи!!!! Замечательное месторасположение, все рядом – остановка транспорта, магазины, рядом озеро Шарташ. Большой хороший двор, детская площадка. Двор закрытый, безопасный для детских прогулок. Чистая продажа, так как уже себе приобрели квартиру!!!! Документы к продаже готовы полностью. Продаем совсем недорого! Ипотеку приветствуем!!! Квартира – мечта, для проживания молодой семьи или выгодное вложение денег для сдачи в аренду!!!",60.690387,56.836426,,В
1.0,Монолитный,42,Уктус,2016.0,3100000,"Продается квартира с хорошим ремонтом в динамично развивающемся микрорайоне Уктус. Транспортная доступность, развитая инфраструктура микрорайона. Рядом школы, детсады, аквапарк ""Лимпопо"", дельфинарий, кинотеатр, торговый центр ""Глобус"", планета ""Игрик"", картинг, больницы. Новый кухонный гарнитур со встроенной техникой. Один собственник, быстрый выход на сделку. Просмотр по согласованию.",60.639749,56.785679,Улучшенной,В
1.0,Панельный,33,Синие Камни,1987.0,2430000,"Продаем светлую квартиру с удобной планировкой. Просторная комната с нишей позволит оптимально зонировать пространство для жизни. Раздельный санузел, что для однокомнатной квартиры редкость. В квартире сделан хороший косметический ремонт с заменой стеклопакетов, труб водоснабжения, установкой новых счетчиков ХВС и ГВС, Электросчетчиков, новая качественная сейф-дверь. Большая остекленная лоджия может быть для вас дополнительным местом отдыха, оттуда открывается прекрасный вид из окна. Солнечная сторона и высокий этаж позволяет квартире быть светлой в любое время суток и очень теплой. Отличное месторасположение в зеленом месте, вдали от магистралей, в шаговой доступности от остановок транспорта и развитой инфраструктуры. Рядом муниципальные детские сады, школы, гимназия, поликлиники, школы дополнительного образования, магазины и супермаркеты. Звоните, приезжайте и выбирайте этот вариант для своей семьи, не упускайте шанс!",60.67935600000001,56.82686700000001,Улучшенной,
1.0,Монолитный,44,Ю-З,2017.0,5100000,"Отличная однокомнатная квартира в Юго - западном районе, ЖК "" Московкий квартал"" . Квартира очень солнечная,расположена на 13 этаже, окна выходят во двор.В квартире выполнен ремонт.В ванной комнате выложена кафельная плитка, имеется водонагреватель, натяжной потолок. При продаже остается кухонный гарнитур фирмы "" Кухни Мария""со встроенной бытовой техникой , холодильник. На территории жилого комплекса предусмотрены спортивные сооружения, детские игровые площадки, зоны тихого отдыха.Дом новый, закрытый двор, круглосуточная охрана и консьержи,видеонаблюдение, своя УК, супермаркет, фитнес-центр и многое другое. Около дома большая территория для бесплатной парковки.Район с хорошей инфраструктурой, отличной транспортной развязкой. Один собственник, квартира без обременений. Возможна ипотека.",60.593522,56.800621,,В
1.0,Монолитный,42,Чермет,,2390000,"Продается 1-комн. квартира, площадью 42,6 м2, в 11 мин. транспортом от м.Чкаловская. В двух минутах ходьбы остановка автобуса, 15 минут на автомобиле до центра города, удобный выезд на объездную дорогу и ЕКАД.",60.597717,56.776384,,
1.0,Монолитный,38,С.Сортировка,2017.0,2850000,Продается уютная 1 комнатная квартира в новом доме ЖК Квартет.,60.524459,56.877814,,
1.0,Кирпичный,34,Пионерский,1981.0,2400000,"Продается светлая, просторная однокомнатная квартира в Пионерском районе!",60.637449,56.861412,Индивидуальная,Требует
1.0,Кирпичный,33,Ботанический,2004.0,2820000,"Престижный кирпичный дом. Свой двор с детской и спортивной площадкой. Место для парковки. Цветущий бульвар с фонтаном! До метро 10 минут. Рядом : садики, школа, магазины. Квартира студия продается с мебелью. Освобождена. Никто не прописан. Этаж 11",60.621873,56.79203,Студия,Требует
1.0,Панельный,30,Уралмаш,1979.0,2580000,,60.583119,56.88942900000001,,Хорошее
1.0,,41,Чермет,2018.0,2650000,"Продается квартира в ЖК 3Dклуб , отличный вид, в комплексе есть спортивный зал с бассейном, магазины рядом остановка общественного транспорта. Паркинг рассчитан на весь жилой комплекс. Удобная развязка. В квартире сделан ремонт.",60.596675,56.776488,,В
1.0,Панельный,32,Центр,1965.0,2490000,"Продается 1 комнатная квартира в центре города. В квартире 2 года назад сделан ремонт, заменены стеклопакеты, в сан узле поменяны стояки, стоят счетчики на электричество и воду. При продаже остается частично мебель.",60.614489,56.850373,,В
1.0,Монолитный,47,Уктус,2016.0,2950000,"Продаётся просторная 1 комнатная квартира с кухней-гостиной 18,3 м2 и спальней 14,1 м2.",60.70401500000001,56.777913,Индивидуальная,В
1.0,Панельный,34,Ботанический,1992.0,3200000,"Вы полюбите эту квартиру!! В продаже 1 комнатная квартира, в перспективном районе города: Ботаника. Площадь 34,9кв, пластиковые окна. В 2014 году выполнен косметический ремонт, покупателю остаётся вся мебель и техника, что позволит заехать и жить не прибегая к ремонту. Отличный вариант для студента, или для сдачи жилья. Удачное расположение, поскольку в шаговой доступности большое количество торговых центров, детских садов,школ,мед.учреждений.В 2х минутах от дома остановки общественного транспорта, 10 минут до метро Ботаническая. Уважаемые покупатели звоните и записывайтесь на просмотр. Возможна ипотека. Помогу оформить с низкой ставкой.",60.630506,56.791423,Улучшенной,
1.0,Кирпичный,36,Эльмаш,1998.0,3150000,"Однокомнатная, очень тёплая, квартира в кирпичном доме 1998 года постройки! В квартире сделан хороший ремонт, установлены приборы учёта. Сама по себе квартира имеет свободную планировку и огромную лоджию. Квартира оборудована всем необходимым и готова к проживанию. Сам дом кирпичный, зимой тепло, а летом прохладно. Наличие двух лифтов, на каждом этаже стоит видеонаблюдение, так же во дворе. Очень большая входная группа и наличие консьержа. Двор закрытый, своё ТСЖ. Развитая инфраструктура, много магазинов, школ, детских садов. Все транспортные развязки и метро в шаговой доступности. Это прекрасный вариант как для комфортной и спокойной жизни в большом городе, так и для инвестиционных вложений с целью получения постоянной ренты от сдачи в аренду. Приходите, смотрите, звоните, отвечу на Ваши вопросы. БЕСПЛАТНО!!! ПОМОГУ ОФОРМИТЬ ПОКУПКУ ЭТОЙ КВАРТИРЫ В БЕЗПРОЦЕНТНУЮ РАССРОЧКУ СРОКОМ НА 10 ЛЕТ С ПЕРВОНАЧАЛЬНЫМ ВЗНОСОМ 35% ОТ СТОИМОСТИ КВАРТИРЫ. Один взрослый собственник. Документы готовы.",60.618414,56.878999,Студия,В
1.0,Монолитный,32,Уктус,2017.0,2300000,"Продается студия , просторная , уютная , с отличным видом из окна. Кухня и шкаф купе остаются, остальное по договоренности. Всегда есть горячая и холодная вода . Низкие коммунальные платежи. Вся инфраструктура рядом . Один собственник .",60.666699,56.782386,Студия,В
,Кирпичный,38,Академический,2017.0,2300000,"Представляем Вашему вниманию светлую однокомнатную квартиру в экологически чистом ЖК ""Западном"", расположенном в лесо-парковой зоне.",60.519195,56.798605,,
1.0,Кирпич,47,Солнечный,2015.0,3705000,,60.57064200000001,56.745567,Индивидуальная,В
1.0,Панельный,32,ЖБИ,1982.0,2910000,"Продается квартира на ЖБИ, отличный ремонт, чистая продажа, один собственник.",60.674442000000006,56.838804,Улучшенной,
,Панельный,33,ЖБИ,1982.0,3000000,В продаже однокомнатная теплая квартира.,60.67566400000001,56.83573199999999,Улучшенной,
1.0,Панельный,27,Ю-З,1980.0,2400000,"Вы полюбите эту квартиру. Продам или обменяю светлую однокомнатную квартиру с отличным ремонтом: на стенах декоративная штукатурка, окна пластиковые, на полу ламинат, потолки натяжные. Электрика поменяна. Выполнена дополнительная звукоизоляция. Новая сантехника. В ванной керамическая плитка. Балкон застеклен. Счетчики на воду и электричество. Окна во двор, солнечная сторона. При продаже остается кухонный гарнитур. В доме были заменены стояки и выполнен капитальный ремонт. Все необходимое рядом: магазины, супермаркеты, аптеки, школы и дошкольные учреждения, остановки общественного транспорта. Хотите жить как Вам нравится, тогда купите эту квартиру.",60.577119,56.800597,,
1.0,Панельный,28,Уралмаш,1975.0,2100000,"Однокомнатная квартира в доме с хорошим расположением. В шаговой доступности остановки общественного транспорта, магазины и торговые центры, удобный выезд в В.Пышму и на ЕКАД, прямо во дворе Школа №27, Детские сады №153 и Милт-плюс.",60.592516,56.907333,,Требует
1.0,,43,Ю-З,2017.0,4100000,,60.593351,56.801149,Улучшенной,В
,Кирпичный,35,С.Сортировка,2002.0,2340000,"Срочно продам 1-комнатную квартиру в кирпичном доме. Дом находится в центральной части Старой Сортировки. Рядом остановки общественного транспорта, магазины, садики и школы.",60.5218,56.873037,,
,Кирпичный,46,Центр,2018.0,4440000,"Продается отличная новая квартира. Особенно подойдет для тех , кому важно жить в Центре.",60.610832,56.853853,,Хорошее
1.0,Кирпичный,30,Эльмаш,1964.0,2400000,"Продается светлая, уютная квартира с отличным ремонтом в теплом, кирпичном доме. Грамотно организовано пространство квартиры. Во всей квартире выровнены стены, произведена замена электропроводки, уложен качественный влагостойкий ламинат, кафельная плитка, смонтирован натяжной потолок с точечными светильниками, установлена надежная входная сейф.дверь, пластиковые стекло пакеты, произведена замена радиаторов отопления, застекленный балкон. Остается кухонный гарнитур.",60.640126,56.897197,,В
1.0,Монолитный,32,Солнечный,2019.0,2440000,"Продаётся 1-к квартира в ЖК «Солнечный». Застройщик СК Астра, ООО.",60.569663,56.748059,Улучшенной,В
1.0,Монолитный,49,Пионерский,2007.0,3690000,"Продается хорошая однокомнатная квартира в центре района Пионерский, рядом с тц Парк-Хаус. Дом СП 2009 года постройки.Лоджия застеклена.Ремонт от застройщика.Закрытый двор. Документы готовы, торг уместен.",60.640297,56.864236,,Требует
1.0,Панельный,29,Ю-З,,2650000,"Продам 1 к.кв. В доме свое ТСЖ. Тихие и доброжелательные соседи. Рядом гимназия 116 и школа 168., садики, магазины, остановки общественного транспорта. До центра города 4 остановки. Чистая продажа. Один собственник. Ипотека возможна. Быстрый выход на сделку. Разумный торг.",60.560275,56.819962,,В
,Панельный,27,Автовокзал,1970.0,2300000,"Продам однокомнатную квартиру в тихом районе недалеко от центра. Квартира расположена, в шаговой доступности от станции метро «Чкаловская». В квартире сделан хороший ремонт с удачной перепланировкой, стоят пластиковые окна, приборы учета воды, увеличена площадь санузла и кухни. Высокий первый этаж. Дом расположен в зеленом оазисе микрорайона. Тишина и покой во дворах, но при этом отлично развитая инфраструктура района - в шаговой доступности школа № 102, французская гимназия №39, детские сады № 509, № 497, поликлиника, продуктовые магазины. Развитая транспортная доступность: автобусы, троллейбусы, маршрутки, а также в 7 минутах ходьбы метро Ботаническая. Можем помочь купить квартиру в беспроцентную рассрочку сроком до 10 лет на льготных условиях. Собственник один, совершеннолетний.",60.615998,56.80182900000001,Индивидуальная,В
1.0,Монолитный,35,УНЦ,2013.0,2800000,"Продается уютная и светлая квартира с хорошим местоположением, рядом с домом остановка общественного транспорта. Квартира теплая. На стенах обои под покраску, на полу ламинат, туалет и ванная комната с отделкой под плитку. На этаже 4 квартиры с хорошими соседями. В жилом комплексе своя газовая котельная, перебоев с горячей водой не бывает. Выход из подъезда на две стороны: во двор и в сторону ул. А.Мехренцева. Для автомобилей организовано много парковочных мест -проблем с парковкой нет, во дворе многоуровневый наземный паркинг, большой двор с оборудованной детской и спортивной площадкой, столом для настольного тенниса. Зимой заливается корт и горка для детей. Муниципальный садик в соседнем дворе.",60.532463,56.788973,,
1.0,Монолитный,41,УНЦ,2018.0,3100000,"Предлагаю к ПОКУПКЕ однокомнатную квартиру в СДАННОМ доме с отделкой ""под ключ"", что позволяет избежать дополнительных затрат на ремонт.",60.547384,56.784886,Улучшенной,В
1.0,Кирпич,33,Автовокзал,2018.0,2744700,Продается квартира в доме рядом с Парком. Все виды оплаты рассматриваются.,60.633587,56.80697900000001,,Хорошее
1.0,Панельный,32,ЖБИ,1982.0,2880000,"Квартира на втором этаже, мкр ЖБИ, рядом детский сад, школа, УПИ.",60.672259,56.840537,Улучшенной,Хорошее
,Кирпичный,30,Н.Сортировка,1965.0,2100000,"Продам однокомнатную квартиру, рядом Таганский ряд",60.537422,56.864,Улучшенной,Хорошее
1.0,Монолитный,53,Автовокзал,2014.0,4850000,"Продаю квартиру в ЖК «Александровский квартал». Сделан качественный ремонт, вся мебель новая. В квартире никто не жил. Чистый подъезд, хорошие соседи, закрытый двор с детской площадкой. В самом доме расположен центр развития детей в интеллектаульном направлении и направлении здоровья и физкультуры. Удобная транспортная доступность заезд с ул. Белинского и с объездной дороги. Общественный транспорт троллейбус, автобус, маршрутное такси и самый лучший бонус станция метро «Ботаническая». Торговые центры рукой подать Дирижабль , O'KEY, Мегамарт, Мегаполис, Глобус. Школы: гимназия №177, лицей №180 , школа № 200, школа № 32. На Саввы Белых ровно 500 метров школа № 14. На улице Авиационная школа № 102.",60.637512,56.797531000000006,,В
1.0,Кирпич,47,Солнечный,2017.0,3699000,"Отличная квартира для Счастливой жизни, вся инфраструктура рядом!",60.567273,56.746258,Индивидуальная,В
1.0,Панельный,30,Автовокзал,1991.0,2699000,"Продаётся теплая, чистая, уютная однокомнатная комнатная квартира в центре города Екатеринбурга. Удобная планировка, комнаты правильной формы. Чистый, тихий двор, хорошая детская площадка. Современная развитая инфраструктура района: рядом магазины и торговый центр, школы, детские сады, поликлиники. В непосредственной близости транспорт: автобусы, трамваи, троллейбусы и маршрутные такси. Один взрослый собственник. Документы готовы к быстрому выходу на сделку.",60.60582,56.816892,,Требует
1.0,Панельный,30,Уралмаш,1965.0,2570000,,60.607347,56.898028,,
1.0,Монолитный,38,Эльмаш,2014.0,2950000,"Продам однокомнатную квартиру на Парниковой ,6",60.61776700000001,56.90770600000001,,Хорошее
1.0,Монолитный,46,Уктус,2016.0,3250000,"Продам классную квартиру в новом жилом комплексе, дом 2016 года постройки, все удобства в комплексе, игровые площадки, корты, магазины и общественный транспорт. В непосредственной близости 2 водоема, лес и тропинки для утренних пробежек. В квартире качественный и дорогой ремонт. Кухня-гостиная и спальная комната, на балконе лаунж зона с прекрасным видом на лес и водоем. Вкладывались с душой и полной отдачей. Комунальные платежи низкие. Приглашаем вас на просмотр, вам обязательно у нас понравится!",60.70401500000001,56.777913,,В
1.0,Панельный,29,Уктус,1966.0,2160000,"Срочно,быстро,недорого уютную,теплую квартиру,с ремонтом,в перспективном районе.Развита инфраструктура,школа 91,детские сады,банки,магазины,Аквапарк-5 минут пешком.До метро Ботаническая-7 минут пешком.Выезд в любом направлении.Кухонный гарнитур,шкаф лля одежды,кресло в подарок.Один собственник,документы готовы.Форма оплаты любая.Идеально для проживания,выгодно в аренду.Торг.",60.645480000000006,56.78919499999999,,Хорошее
,Кирпичный,60,Уктус,2009.0,3990000,"Продается просторная квартира с большой кухней-гостиной в современном, настоящем кирпичном доме в самом центре микрорайона Уктус. Рядом вся инфраструктура, общественный транспорт, ТРЦ ""Екатерининский"", магазины и т.д. Дом находится на тихой улочке, окна квартиры выходят во двор, на юг (в квартире светло, тихо и спокойно). Состояние отличное, сделан качественный ремонт, на кухне и в ванной комнате теплые полы. В стоимость квартиры входит вместительный встроенный кухонный гарнитур со всей бытовой техникой, в том числе с посудомоечной и стиральной машиной, и большой шкаф-купе в прихожей.",60.64700799999999,56.784836,Индивидуальная,В
1.0,Монолитный,32,Центр,2017.0,3500000,"ЖК ""Арбатский"". Студия. Просторная, светлая. Качественная подготовка под чистовую отделку. Окна выходят во двор, на южную сторону. Двор закрытый, охраняемый, со спортивной и детской площадками.",60.58718,56.828281,Студия,
,Бетонные,31,Пионерский,1988.0,2460000,Хотите купить однокомнатную квартиру в Пионерском районе? Невысокая цена для проживания недалеко от центра.,60.621298,56.86298100000001,,Хорошее
1.0,Кирпич,42,Академический,2019.0,2749000,"Лучший вариант в Академическом районе! ЖК ""Преображенский квартал"" класс комфорт.",60.520758,56.781996,,В
1.0,Кирпич,34,Широкая Речка,2013.0,2700000,"Продается 1 к.квартира в отличном состоянии. В стоимость квартиры входит вся мебель, а именно: кухонный гарнитур, плита стеклокерамика, холодильник, стиральная машина. Окна стеклопакеты, пол с подогревом, счётчики тепла и воды. Собственная котельная. Окно выходят во двор(юг-запад) Закрытый двор, охрана, паркинг. Рядом 2 детских сада, фитнес зал, аптека, магазины, ТЦ Мега, Радуга Парк, Лента.Остановка общественного транспорта в шаговой доступности. До центра города 15 мин. В квартире никто не жил, в найм не сдавалась. Документы готовы. За наличный расчет скидка.",60.51365300000001,56.805422,,
